raw_names,names,имена,synsets,hypernyms,tags
/c/corral,corral,загон для скота,cow pen,pen,
/c/corridor,corridor,коридор,corridor,passageway,
/c/cottage_garden,cottage garden,дачный сад,,,garden
/c/courthouse,courthouse,здание суда,courthouse,government building,architecture
/c/courtroom,courtroom,зал суда,court,room,
/c/courtyard,courtyard,двор,court,area,
/c/covered_bridge/exterior,covered bridge,крытый мост,covered bridge,bridge,
/c/creek,creek,ручей,brook,stream,water
/c/crevasse,crevasse,расселина в леднике,crevasse,crack,
/c/crosswalk,crosswalk,пешеходный переход,crossing,path,street
/c/cubicle/office,office,офис,office,place of business,
/d/dam,dam,дамба,dam,barrier,
/d/delicatessen,delicatessen,гастроном,delicatessen,convenience food,cafe
/d/dentists_office,dentists office,офис стоматологов,,,
/d/desert/sand,sand,песок,sand,soil,nature
/d/desert/vegetation,vegetation,растительность,vegetation,collection,nature
/d/diner/indoor,diner,обедающий,diner,eater,cafe
/d/diner/outdoor,diner,обедающий,diner,eater,cafe
/d/dinette/home,home,Главная,home,residence,home
/d/dinette/vehicle,vehicle,транспортное средство,vehicle,conveyance,
/d/dining_car,dining car,вагон-ресторан,dining car,passenger car,cafe
/d/dining_room,dining room,столовая,dining room,room,
/d/discotheque,discotheque,дискотека,disco,ballroom,entertainment
/d/dock,dock,док,dock,enclosure,water
/d/doorway/outdoor,doorway,дверной проем,doorway,entrance,
/d/dorm_room,dorm room,комната с несколькими кроватями,dormitory,bedroom,
/d/driveway,driveway,дорога,driveway,road,street
/d/driving_range/outdoor,driving range,вождение диапазон,golf range,practice range,sport
/d/drugstore,drugstore,аптека,drugstore,shop,
/e/electrical_substation,electrical substation,электрическая подстанция,,,
/e/elevator/door,door,дверь,door,movable barrier,
/e/elevator/interior,elevator,лифт,elevator,lifting device,
/e/elevator_shaft,elevator shaft,шахта лифта,elevator shaft,shaft,
/e/engine_room,engine room,машинное отделение,engineering,room,
/e/escalator/indoor,escalator,эскалатор,escalator clause,article,
/e/excavation,excavation,раскопки,excavation,creating by removal,
/f/factory/indoor,factory,завод,factory,plant,
/f/fairway,fairway,фарватер,fairway,site,sport
/f/fastfood_restaurant,fastfood restaurant,Ресторан быстрого питания,,,cafe
/f/field/cultivated,cultivated,культурный,cultivate,,
/f/field/wild,wild,дикий,wild,state,nature
/f/fire_escape,fire escape,пожарный выход,fire escape,stairway,
/f/fire_station,fire station,пожарная станция,fire station,station,
/f/firing_range/indoor,firing range,Дальность стрельбы,firing range,practice range,
/f/fishpond,fishpond,пруд для разведения рыбы,fishpond,pond,water
/f/florist_shop/indoor,florist shop,цветочный магазин,florist,shop,shopping
/f/food_court,food court,ресторанный дворик,food court,court,cafe
/f/forest/broadleaf,broadleaf,широколиственных,broadleaf,,forest
/f/forest/needleleaf,needleleaf,хвойные,,,forest
/f/forest_path,forest path,лесная тропа,,,forest
/f/forest_road,forest road,лесная дорога,,,forest
/f/formal_garden,formal garden,формальный сад,formal garden,garden,garden
/f/fountain,fountain,фонтан,fountain,structure,
/g/galley,galley,камбуз,galley,vessel,
/g/game_room,game room,игровая комната,rumpus room,recreation room,entertainment
/g/garage/indoor,garage,гараж,garage,outbuilding,
/g/garbage_dump,garbage dump,мусорная свалка,dump,site,
/g/gas_station,gas station,бензоколонка,gasoline station,service station,
/g/gazebo/exterior,gazebo,бельведер,gazebo,building,
/g/general_store/indoor,general store,универсальный магазин,country store,mercantile establishment,shopping
/g/general_store/outdoor,general store,универсальный магазин,country store,mercantile establishment,
/g/gift_shop,gift shop,подарочный магазин,gift shop,shop,shopping
/g/golf_course,golf course,поле для гольфа,golf course,course,sport
/g/greenhouse/indoor,greenhouse,теплица,greenhouse,building,
/g/greenhouse/outdoor,greenhouse,теплица,greenhouse,building,
/g/gymnasium/indoor,gymnasium,гимнастический зал,secondary school,school,sport
/h/hangar/indoor,hangar,ангар,airdock,structure,
/h/hangar/outdoor,hangar,ангар,airdock,structure,
/h/harbor,harbor,гавань,seaport,port,water
/h/hayfield,hayfield,сенокос,hayfield,grassland,
/h/heliport,heliport,вертодром,heliport,airport,
/h/herb_garden,herb garden,травяной сад,herb garden,garden,garden
/h/highway,highway,шоссе,highway,road,street
/h/hill,hill,холм,hill,natural elevation,nature
/h/home_office,home office,домашний офис,home office,ministry,
/h/hospital,hospital,больница,hospital,medical building,
/h/hospital_room,hospital room,больничная палата,hospital room,room,
/h/hot_spring,hot spring,горячий источник,hot spring,spring,water
/h/hot_tub/outdoor,hot tub,джакузи,hot tub,bathtub,
/h/hotel/outdoor,hotel,Гостиница,hotel,building,
/h/hotel_room,hotel room,номер в отеле,hotel room,bedroom,
/h/house,house,жилой дом,house,building,
/h/hunting_lodge/outdoor,hunting lodge,охотничий домик,lodge,house,
/i/ice_cream_parlor,ice cream parlor,кафе-мороженое,,,cafe
/i/ice_floe,ice floe,льдина,ice floe,ice mass,snow
/i/ice_shelf,ice shelf,ледяной шельф,shelf ice,ice,snow
/i/ice_skating_rink/indoor,ice skating rink,ледовый каток,,,entertainment
/i/ice_skating_rink/outdoor,ice skating rink,ледовый каток,,,entertainment
/i/iceberg,iceberg,айсберг,iceberg,floater,snow
/i/igloo,igloo,иглу,igloo,hovel,
/i/industrial_area,industrial area,промышленная зона,,,
/i/inn/outdoor,inn,гостиница,hostel,hotel,
/i/islet,islet,островок,isle,,water
/j/jacuzzi/indoor,jacuzzi,джакузи,,,
/j/jail/indoor,jail,тюремное заключение,jail,correctional institution,
/j/jail_cell,jail cell,Тюремная камера,cell,room,
/j/jewelry_shop,jewelry shop,ювелирный магазин,,,shopping
/k/kasbah,kasbah,Касба,kasbah,quarter,architecture
/k/kennel/indoor,kennel,конура,kennel,outbuilding,
/k/kennel/outdoor,kennel,конура,kennel,outbuilding,
/k/kindergarden_classroom,kindergarden classroom,класс детского сада,,,
/k/kitchen,kitchen,кухня,kitchen,room,home
/k/kitchenette,kitchenette,кухонька,kitchenette,kitchen,
/l/labyrinth/outdoor,labyrinth,лабиринт,maze,system,garden
/l/lake/natural,natural,натуральный,natural,achiever,water
/l/landfill,landfill,полигон,landfill,lowland,
/l/landing_deck,landing deck,посадочная палуба,flight deck,deck,
/l/laundromat,laundromat,прачечная-автомат,launderette,laundry,
/l/lecture_room,lecture room,лекционная комната,lecture room,classroom,
/l/library/indoor,library,библиотека,library,room,science
/l/library/outdoor,library,библиотека,library,room,architecture
/l/lido_deck/outdoor,lido deck,Лидо-деки,lido deck,deck,entertainment
/l/lift_bridge,lift bridge,подъемный мост,drawbridge,bridge,water
/l/lighthouse,lighthouse,маяк,beacon,tower,
/l/limousine_interior,limousine interior,интерьер лимузина,,,cars
/l/living_room,living room,гостинная,living room,room,home
/l/lobby,lobby,лобби,anteroom,room,
/l/lock_chamber,lock chamber,шлюзовая камера,lock,enclosure,
/l/locker_room,locker room,камера хранения,locker room,room,
/m/mansion,mansion,особняк,sign of the zodiac,region,architecture
/m/manufactured_home,manufactured home,изготовленный дом,mobile home,housing,
/m/market/indoor,market,рынок,market,activity,shopping
/m/market/outdoor,market,рынок,market,activity,shopping
/m/marsh,marsh,болотный,marsh,wetland,nature
/m/martial_arts_gym,martial arts gym,зал боевых искусств,,,sport
/m/mausoleum,mausoleum,мавзолей,mausoleum,burial chamber,architecture
/m/medina,medina,медина,medina,,street
/m/moat/water,water,воды,water,binary compound,water
/m/monastery/outdoor,monastery,монастырь,monastery,religious residence,church
/m/mosque/indoor,mosque,мечеть,mosque,place of worship,church
/m/mosque/outdoor,mosque,мечеть,mosque,place of worship,church
/m/motel,motel,мотель,motel,motor hotel,
/m/mountain,mountain,гора,mountain,natural elevation,nature
/m/mountain_snowy,mountain snowy,гора снежная,,,nature
/m/movie_theater/indoor,movie theater,кинотеатр,cinema,theater,
/m/museum/indoor,museum,музей,museum,depository,art
/m/music_store,music store,музыкальный магазин,,,
/m/music_studio,music studio,музыкальная студия,,,
/n/nuclear_power_plant/outdoor,nuclear power plant,атомная электростанция,,,
/n/nursery,nursery,питомник,nursery,child's room,
/o/oast_house,oast house,хмелесушилка,oast house,house,
/o/observatory/outdoor,observatory,обсерватория,observatory,building,science
/o/ocean,ocean,океан,ocean,body of water,water
/o/office,office,офис,office,place of business,
/o/office_building,office building,офисное здание,office building,building,
/o/oil_refinery/outdoor,oil refinery,нефтеперегонный завод,oil refinery,refinery,
/o/oilrig,oilrig,нефтяная вышка,drill rig,rig,
/o/operating_room,operating room,операционная комната,operating room,hospital room,
/o/orchard,orchard,фруктовый сад,grove,garden,garden
/o/outhouse/outdoor,outhouse,флигель,outhouse,outbuilding,
/p/pagoda,pagoda,пагода,pagoda,temple,architecture
/p/palace,palace,дворец,palace,mansion,architecture
/p/pantry,pantry,кладовая,pantry,storeroom,
/p/park,park,парк,park,tract,
/p/parking_garage/indoor,parking garage,парковка,,,
/p/parking_garage/outdoor,parking garage,парковка,,,
/p/parking_lot,parking lot,стоянка,parking lot,lot,
/p/parlor,parlor,кабинет,parlor,reception room,
/p/pasture,pasture,выгон,pasture,grassland,
/p/patio,patio,внутренний дворик,patio,area,
/p/pavilion,pavilion,павильон,pavilion,tent,
/p/pharmacy,pharmacy,аптека,pharmacy,medicine,
/p/phone_booth,phone booth,телефонная будка,telephone booth,booth,
/p/physics_laboratory,physics laboratory,физическая лаборатория,physics lab,lab,science
/p/picnic_area,picnic area,место для пикника,picnic area,tract,
/p/pilothouse/indoor,pilothouse,рулевая рубка,pilothouse,compartment,
/p/planetarium/outdoor,planetarium,планетарий,planetarium,building,
/p/playground,playground,детская площадка,resort area,area,
/p/playroom,playroom,игровая комната,rumpus room,recreation room,
/p/plaza,plaza,площадь,plaza,public square,
/p/podium/indoor,podium,подиум,dais,platform,sport
/p/podium/outdoor,podium,подиум,dais,platform,
/p/pond,pond,пруд,pond,lake,water
/p/poolroom/establishment,establishment,создание,constitution,beginning,
/p/poolroom/home,home,Главная,home,residence,
/p/power_plant/outdoor,power plant,электростанция,power station,station,
/p/promenade_deck,promenade deck,прогулочная колода,hurricane deck,deck,
/p/pub/indoor,pub,паб,public house,tavern,bar
/p/pulpit,pulpit,кафедра,dais,platform,church
/p/putting_green,putting green,паттинг грин,green,site,sport
/r/racecourse,racecourse,ипподром,racetrack,course,sport
/r/raceway,raceway,Raceway,raceway,canal,cars
/r/raft,raft,рафт,raft,float,water
/r/railroad_track,railroad track,железнодорожные пути,railroad track,track,
/r/rainforest,rainforest,тропические леса,rain forest,forest,forest
/r/reception,reception,прием,reception,greeting,
/r/recreation_room,recreation room,комната отдыха,recreation room,room,
/r/residential_neighborhood,residential neighborhood,жилой район,,,
/r/restaurant,restaurant,ресторан,restaurant,building,cafe
/r/restaurant_kitchen,restaurant kitchen,кухня ресторана,,,
/r/restaurant_patio,restaurant patio,ресторан патио,,,cafe
/r/rice_paddy,rice paddy,рисовые поля,paddy,field,
/r/riding_arena,riding arena,езда на арене,,,sport
/r/river,river,река,river,stream,water
/r/rock_arch,rock arch,каменная арка,,,nature
/r/rope_bridge,rope bridge,веревочный мост,rope bridge,bridge,
/r/ruin,ruin,разорение,ruin,devastation,
/r/runway,runway,посадочная полоса,track,bar,airport
/s/sandbar,sandbar,песчаная отмель,sandbar,bar,nature
/s/sandbox,sandbox,песочница,sandbox,mold,
/s/sauna,sauna,сауна,sauna,steam bath,
/s/schoolhouse,schoolhouse,здание школы,school,building,
/s/sea_cliff,sea cliff,морской утес,,,water
/s/server_room,server room,серверная комната,,,
/s/shed,shed,сарай,shed,outbuilding,
/s/shoe_shop,shoe shop,магазин обуви,shoe shop,shop,shopping
/s/shopfront,shopfront,витрина,shopfront,front,shopping
/s/shopping_mall/indoor,shopping mall,торговый центр,plaza,mercantile establishment,shopping
/s/shower,shower,душ,shower,plumbing fixture,
/s/skatepark,skatepark,скейт-парк,,,
/s/ski_lodge,ski lodge,лыжная база,ski lodge,hotel,snow
/s/ski_resort,ski resort,лыжный курорт,ski resort,resort,snow
/s/ski_slope,ski slope,лыжный склон,ski slope,slope,snow
/s/sky,sky,небо,sky,atmosphere,sky
/s/skyscraper,skyscraper,небоскреб,skyscraper,building,
/s/slum,slum,трущобы,slum,city district,
/s/snowfield,snowfield,снежная равнина,snowfield,plain,snow
/s/squash_court,squash court,корт для сквоша,squash court,court,sport
/s/stable,stable,стабильный,stable,farm building,
/s/stadium/baseball,baseball,бейсбол,baseball,ball game,sport
/s/stadium/football,football,футбол,football,contact sport,sport
/s/stage/indoor,stage,этап,phase,time period,art
/s/staircase,staircase,лестница,stairway,way,
/s/street,street,улица,street,thoroughfare,street
/s/subway_interior,subway interior,интерьер метро,,,
/s/subway_station/platform,platform,Платформа,platform,horizontal surface,
/s/supermarket,supermarket,супермаркет,supermarket,grocery store,shopping
/s/sushi_bar,sushi bar,суши-бар,sushi bar,bar,cafe
/s/swamp,swamp,болотный,swamp,wetland,forest
/s/swimming_pool/indoor,swimming pool,плавательный бассейн,swimming pool,athletic facility,sport
/s/swimming_pool/outdoor,swimming pool,плавательный бассейн,swimming pool,athletic facility,
/s/synagogue/indoor,synagogue,синагога,synagogue,place of worship,church
/s/synagogue/outdoor,synagogue,синагога,synagogue,place of worship,church
/t/television_studio,television studio,телевизионная студия,,,
/t/temple/east_asia,east asia,Восточная Азия,,,
/t/temple/south_asia,south asia,Южная Азия,,,
/t/tennis_court/indoor,tennis court,теннисный корт,tennis court,court,sport
/t/tennis_court/outdoor,tennis court,теннисный корт,tennis court,court,sport
/t/tent/outdoor,tent,палатка,tent,shelter,
/t/theater/indoor_procenium,indoor procenium,Крытый Procenium,,,
/t/theater/indoor_seats,indoor seats,внутренние сиденья,,,
/t/thriftshop,thriftshop,комиссионный магазин,thriftshop,shop,shopping
/t/throne_room,throne room,Тронный зал,,,
/t/ticket_booth,ticket booth,билетная касса,box office,office,
/t/toll_plaza,toll plaza,платная площадь,toll plaza,tract,street
/t/topiary_garden,topiary garden,топиарий сад,,,garden
/t/tower,tower,башня,tower,structure,architecture
/t/toyshop,toyshop,магазин игрушек,toyshop,shop,shopping
/t/track/outdoor,track,трек,path,line,sport
/t/train_railway,train railway,железнодорожный поезд,,,
/t/train_station/platform,platform,Платформа,platform,horizontal surface,
/t/tree_farm,tree farm,ферма деревьев,tree farm,forest,
/t/tree_house,tree house,дом на дереве,tree house,playhouse,
/t/trench,trench,траншея,trench,ditch,
/u/underwater/coral_reef,coral reef,коралловый риф,coral reef,reef,water
/u/utility_room,utility room,подсобное помещение,,,
/v/valley,valley,долина,valley,natural depression,nature
/v/van_interior,van interior,интерьер фургона,,,cars
/v/vegetable_garden,vegetable garden,огород,kitchen garden,garden,
/v/veranda,veranda,веранда,veranda,porch,
/v/veterinarians_office,veterinarians office,офис ветеринаров,,,
/v/viaduct,viaduct,виадук,viaduct,bridge,
/v/videostore,videostore,магазин видеозаписей,,,shopping
/v/village,village,деревня,village,community,
/v/vineyard,vineyard,виноградник,vineyard,farm,
/v/volcano,volcano,вулкан,vent,crack,nature
/v/volleyball_court/indoor,volleyball court,волейбольная площадка,volleyball court,court,sport
/v/volleyball_court/outdoor,volleyball court,волейбольная площадка,volleyball court,court,sport
/w/waiting_room,waiting room,комната ожидания,lounge,room,
/w/warehouse/indoor,warehouse,склад,warehouse,storehouse,
/w/water_tower,water tower,водяная башня,water tower,reservoir,
/w/waterfall/block,block,блок,block,artifact,water
/w/waterfall/fan,fan,поклонник,fan,device,water
/w/waterfall/plunge,plunge,вляпаться,dip,swimming,water
/w/watering_hole,watering hole,водопой,watering place,resort area,
/w/wave,wave,волна,wave,movement,water
/w/wet_bar,wet bar,мокрый бар,wet bar,bar,
/w/wheat_field,wheat field,Пшеничное поле,wheatfield,grainfield,
/w/wind_farm,wind farm,ветровая электростанция,wind farm,power station,
/w/windmill,windmill,ветряная мельница,windmill,mill,
/w/wine_cellar/barrel_storage,barrel storage,бочка для хранения,,,
/w/wine_cellar/bottle_storage,bottle storage,хранение бутылок,,,
/w/wrestling_ring/indoor,wrestling ring,борцовское кольцо,wrestling ring,ring,entertainment
/y/yard,yard,двор,yard,linear unit,
/y/youth_hostel,youth hostel,молодежный хостел,hostel,housing,
